# Hostnames used by INOCNATION campaign,FTA-2010
# Hostname,Description,Date added
inocnation.com,Domain used by INOCNATION campaign,12/15/2015
mail.cbppnews.com,Hostname used by INOCNATION campaign,12/15/2015
