# Master list of hashes in all Fidelis ,Cybersecurity blogs and FTAs,,
# md5,sha256,description,date
72662c61ae8ef7566a945f648e9d4dd8,bf3c20d4ba3b954a17a20da1fd11c3124203f5510ddf53d293f180afc81502fa,FTA-1021 Dersubi Research,6/27/11
bc32ecb75624a7bec7a901e10c195307,dbc2184fb764c6194e6168acb7bb79bba82f0856fbd5e506ae98084dc171c5fa,FTA-1021 Dersubi Research,12/23/11
449521ce87ed0111dcb0d4beff85064d,943c2942f429abbd51f206f8ab609f2df603b6c41e61ccbf1cc729bcdf38f23d,FTA-1021 Dersubi Research,1/9/12
59cb505d1636119f2881caa14bf42326,6262b83425e85d203b4708dc629987ffaa4dff8ab03042e1332b8910b5e75a85,FTA-1021 Dersubi Research,12/23/11
76767ef2d2bb25eba45203f0d2e8335b,1824a589c4aac3be2dae411ea7265eb3d53729c4365a0975ba00588b586ac0af,FTA-1021 Dersubi Research,12/23/11
d3ad90010c701e731835142fabb6bfcc,3bf38f9651b6f977f5a2d6a4e872478b31cd9adede8388b42c86e19ba32019f3,FTA-1021 Dersubi Research,6/27/11
3a27de4fb6e2c524e883c40a43da554e,48fdd18d2414362f2b2763c870da10305fe2f9a06b756d2a43036553a44c29e7,FTA-1021 Dersubi Research,10/24/11
6802c21d3d0d80084bf93413dc0c23a7,756c5136e05e12eaa08f75660a4b71c878e779fb45c231431844e7688d499411,FTA-1021 Dersubi Research,12/23/11
a1fb51343f3724e8b683a93f2d42127b,ce6ef84366edb0bd0f688607772fff3a9ee80cceed73b980928becbb8aea9349,FTA-1021 Dersubi Research,6/27/11
3dec6df39910045791ee697f461baaba,f81ea2bb5c9a67badd4ffefb4a5eb1239e1db536c20ae2c37f2f2540b41eb50a,FTA-1021 Dersubi Research,3/19/11
837b6b1601e0fa99f28657dee244223b,0d7d39299fe2d7700c2d106917aeeb4016f3bc55baee59d4aaaaf28a2cf74312,FTA-1021 Dersubi Research,3/19/11
8c0cf5bc1f75d71879b48a286f6befcf,2d65ad5aa063f7ea2dbec00aae583e6b18c620df887348617314a41740579f9d,FTA-1021 Dersubi Research,1/9/12
f99e10c9d269b0596bfe8ac91ec62fe9,0cc3206bc21646235b2728dd6910cce2dbc2215f638bdc9cb6ec4fe93c9716b4,FTA-1021 Dersubi Research,10/24/11
6d620d5a903f0d714c30565a9bfdce8f,c092c0afa2d4a2acc91687a049c9a652389bd0fcd484bbb07b0343e3ed6d1a8f,FTA-1021 Dersubi Research,3/19/11
eeb636886ecc9ff3623d10f1efcf3c09,686d91b0af1cf22fee4674634a0dce01181a4e29c0d7b94cdbbc4776960f4df8,FTA-1021 Dersubi Research,3/19/11
6ec15a34f058176be4e4685eda9a5cfc,a1931231ac458549630c19a7e819307a856280b320e7b5ede38c9ed303ed6c4d,FTA-1021 Dersubi Research,12/23/11
70508f3b0af558833609151b368d3cc5,08375e016db78add0ea8a1a56312491f82528d96130872f3afbd287909816a57,FTA-1021 Dersubi Research,1/19/13
1e113600e397226c3e09c9c628d8ab95,1c9a8457713d1527a3dc0273e0f507af99db75e9bde61edd1656f7a47abf9864,FTA-1021 Dersubi Research,10/12/11
1ae0c39cb9684652c017161f8a5aca78,3845335ced4b2d8c3b5efc67443e37ccee4ab658f29b34ba0aba867da82c4063,FTA-1021 Dersubi Research,3/19/11
3c973c1ad37dae0443a078dba685c0ea,1a00fabff947f8a6396ba844f6863bc83b0f698359a1b0d4f03dabcb5274fded,FTA-1021 Dersubi Research,3/19/11
128c17340cb5add26bf60dfe2af37700,a03f6910a24fe725519eb0ba85b5191b401cb866e890f09edbb7b70348420c74,FTA-1021 Dersubi Research,3/16/11
f942f98cff86f8fcde7eb0c2f465be7a,3b66cb0fc535d2679307fb34e838bfa7c4d767e05519e13bf5083bc65cf7427f,FTA-1021 Dersubi Research,3/19/11
75b3ccd4d3bfb56b55a46fba9463d282,88e25217ce8c4413451b2d49fa3b2437ca881fca83b3fc1648fff38298b3dc21,FTA-1021 Dersubi Research,11/10/11
3804d23ddb141c977b98c2885953444f,13762b1c775c851cffb207dfe7e3162cca0ca868f3ab7748a37e158fd9ce44c3,FTA-1021 Dersubi Research,10/10/11
5238cd34caae600b3f592e2595aa6949,5439d7e7b2fafb0a2a8c22e2a345a1134ca3704c0336d1d5ec9754e3fcfcfbdd,Vawtrak Trojan,5/12/16
6fad86a0fcc912f32474f6c7a86fe37a,8fb75ad8428718a693ac2726a83a09d397eacdf800a376191a75da8ecbfe56b0,Vawtrak Trojan,5/16/16
e8d104c97287ba98d3b750bf91a0b9c1,d14ab7f83936d614346750fc83718b1b247cf36c148056d807f18b5685793abb,Ursnif ,6/7/16
c3427fdb8003ba47f75a65df125f4ff3 ,5e64011e7f61ee8738f49da42ca591a85b714c169ec6a74d60e9b8282d8ad050,Ursnif ,6/7/16
4cf51d138bcace95fd0e280cdb02b038,22ce1f05b4531f6b312f6fc24246f5318b90b5366dcd647a42d680676db1cd73,JS Downloader related to Ursnif ,6/7/16
4d72b546d1031dff9acf2c5a24ba4d12,34ad04778a5a1d50b55a6cd15663bf6433aea0608eb6349f5a18b96bd1e4ebc9,JS Downloader related to Ursnif ,6/7/16
dd724d8f1f173b0d7ff0d5b0505b8eb7,6928891dfcf54ad70c5bf29aa1e518b1ab5f74a560099d9c9cc3e4a468811e59,Andromeda Downloarder related to Ursnif,6/7/16
e8d104c97287ba98d3b750bf91a0b9c1,d14ab7f83936d614346750fc83718b1b247cf36c148056d807f18b5685793abb,Andromeda Binary realted to Ursnif,6/7/16
95914f3cb47e2d200408456abc2fc277,2f727271a04b60eef3eb471ecb5749d7864dd5c8cff10e8e5d637c4ef0cd96a0,Chanitor,7/12/16
63cc107d6f4464eb311324f950386b9f,6a6cca89ce2ef9ec3ca0e75cb3fdbe6306de26f58769f2778dca5da7252d50cd,Chanitor,7/12/16
db36c2f4db086a7f8e483187289e1c93,e7316bdbaa7ff60a6e5d3c7c4318f16ff03d5a4a057c1df8762f00c9a639aaea,Chanitor,7/12/16
f5efd86c80538e104503c309e458efa9,19fa1229a2d499bb3f9222098c0baf2715b8ec947efa4e2be1d6e0ae68d951e2,Chanitor,7/12/16
e3b6acf4ccd7f0257d201977bb600e04,f10864d34853f26d07413a85dbc2465d22444f3707c2be8bb60b44f60540301b,Vawtrak,7/12/16
feb49bde382fec4c821e4e608d0134f5,78ed04d3c7f9357e8dea729f407c1c6d547a13a03ccd85330a47cd36fb762f36,Vawtrak,7/12/16
6d046ea72343a1e49c8f3932ea7f6c75,c7135bf76f8ce70417faff22ffbdeee73ec7618697ddedacc8b7f4c4260eef26,Vawtrak,7/12/16
7fc75215d5502cdd1ff5413d2a882331,37da1b3c4bc438ae16f4657443a8c8871a721db5e4f03b254911914d67cd1a91,Vawtrak,7/12/16
77561141a0f15ff56c70995c4f1ddc98,9e96dc22b22a3955bc1cb0052c92c25a35f31e971a6d08f41cb29d838f5a5041,Vawtrak,7/12/16
5238cd34caae600b3f592e2595aa6949,5439d7e7b2fafb0a2a8c22e2a345a1134ca3704c0336d1d5ec9754e3fcfcfbdd,Vawtrak,7/12/16
6fad86a0fcc912f32474f6c7a86fe37a,8fb75ad8428718a693ac2726a83a09d397eacdf800a376191a75da8ecbfe56b0,Vawtrak,7/12/16
fb4d250b6a733ce4f5c583e9ebb667bc,b5936f6bd4fa013af7beecc80f1b5f3370a7a8f66c03ab7590a5e90a6a836e47,Vawtrak,7/12/16
1a03b0020ead9bbf5d03761cddb929fa,657e3b6b45f51a7cdc95a77405ca318f944c4bec43c1fb72f34a485ae6acfe4c,Vawtrak,7/12/16
2e2e21875ad473bd71ff3d32b405ada3,045fe029968deee2d6dd47be6ca7d5e085fda41293c2eb9d91fbdb451c8b446e,Vawtrak,7/12/16
0ad71b4f28064748b22f3853ec544402,0c6cf003659dbc4d9e3eb1a20be922d60b4dea3653080d9a333e67ed6817570d,Vawtrak,7/12/16
f5efd86c80538e104503c309e458efa9,19fa1229a2d499bb3f9222098c0baf2715b8ec947efa4e2be1d6e0ae68d951e2,Pony,7/12/16
4ed1786f75251376f23bc0df2cd98fff,9ea6bea66ef05211c0aced22a30a85405c9e27561a69c5c657cfac5d9983ecb5,Pony,7/12/16
c1bfbfe0db4a74611e32cc7f49cc9383,d650e12ea3bb05457a6f4780c13c3797510c53db21aecc71a036a1b073d7ec9f,Pony,7/12/16
379c67ae879872d3fa0b601892c59605,6a40ed9dbb0f4bd430d76c10750448669c2bcca9aea6c6e8743f7526c8ffd93f,Pony,7/12/16
8c62d43ee165859603c532beecdbadde,fec402d83ee5d29707c749b9c2b74fe438e39f53f3ca464180335448e0fcb9ce,Pony,7/12/16
be1f62fcbe151ad251a3a8d1d0d8b5e3,af4e39342cf41588931d2690f1f163ece46be0193784d2c323291d5cef24a153,Pony,7/12/16
121cc78adcf9097b51813fbdbe0f4872,18232a7ce4e181bf11cd98b1298406e185ada00ee2b21ce40fcfa155f892e289,Pony,7/12/16
cd445e52eb7d2ca7359a8513157dd0a9,aa6f1f2db2afd7f37f1b2133881bdbc0fdd7515cbde8749bf21d1fcabe372982,Pony,7/12/16
5e49ae017af49f89b2d7cc986677a266,60004a4b3f9171fd469b2744a9334034dd9c9fecab81cc884a8b0441027aa778,Pony,7/12/16
0f7fd85685e7835fee897f2ab36652ac,cb865615130cb42dfa2cf65769500487b5c550fa92470114afa5132997175756,Pony,7/12/16
896908f5cb3c8e045eb45c367f7cfdd6,fe48d03c07eb6f64b8fec49dc59f3b023c36701399165d553b3c32cbbf30030c,Pony,7/12/16
b6226b00ea36f50d855e8c6da147b5c1,18bcbd0a1afc77a0ad47fefd1788cd58da643b45d2357c4a6842ff93b6e88b6e,Pony,7/12/16
4e88d4d6ad6d581ec37c3597f6db8019,e19537ed15d8a95967031ad7e0b309bc693bd5b5329996c5e1e41d95f531c6ab,Pony,7/12/16
3e7541a41b84046e4994f660bda5dadc,4db6052a91224fc31a086933d0c88ab5c9454cf4ba3f2e7412536ec27415eb5d,Pony,7/12/16
3bfc4c70be70456d607c7fdc054f7252,19ad67be98c23bd8f10307fef975bb097894cc8f119132dc73ce364966678b8a,Pony,7/12/16
4d0829e6c17c127d37a6ac6417787504,4d073f307de354580f8c3aaad23c36f8232924bf13328455546c20ebe14bfbde,H1N1,7/12/16
b8b13f5b9fb54017b3a4b54cb0fc97c4,4f2b5016467f1aca55646e6f78febbb566d42c478a93e505bd7a0c3c07dd7307,H1N1,7/12/16
1265be272d9f4d37f34c0702c6841fb2,,H1N1,7/12/16
ae4145a0a4859d5ab56b143adb148ee9,f2a509012a3a2cad52538e4589cea3f8c715543b777d257264291756fa0e5a72,Nymaim,7/12/16
90e4d03aff298fca4641acda4e6493f2,728791044e1d19113a7d894771d1919ff657c80aca425a404f20573972d5fcd1,Nymaim,7/12/16
4cadf61e96c2d62292320c556fd34fe6,34eb0c91ff39e09a4f9e07777949b00b8289f739f570cc74e991d2d591d5e08f,Nymaim,7/12/16
96daa23d7723f8f04690bb93642a9bae,f983ba24d259b4afac4451f7036e7636f6a35df175c6f7302e309ea7daab45ab,Andromeda,7/12/16
d783195714e10dc0dcd61e877821c8ff,797717b96a3422d27b68365b4d54ebe9568b7b705d31bdc745f72b40b778c1bb,ISFB/Gozi,7/12/16
88ed077e12a8109933472ce6ca6a0296,2b777ec1b28349998fed7a0cadb8034208efa5ddb2bcb0d10b063ea0cfef4ccc,Dyre,7/12/16
